id,created_at,updated_at,name,name_en,detail,plo_level,deleted_at,curriculum_id,parent_plo_id
8,2024-10-22 04:19:19,2024-10-22 04:19:19,1.1,,xxxx,2,,1,1
9,2024-10-22 04:19:19,2024-10-22 04:19:19,1.2,,xxxx,2,,1,1
1,2024-10-18 08:46:07,2024-10-22 08:45:15,1,,PLO1,1,,1,
10,2024-10-22 08:47:54,2024-10-22 08:47:54,2,,PLO2,1,,1,
11,2024-10-22 08:47:54,2024-10-22 08:47:54,2.1,,yy,2,,1,10
12,2024-10-22 08:47:54,2024-10-22 08:47:54,2.2,,yy,2,,1,10
13,2024-10-24 07:53:06,2024-10-24 07:53:06,1,,test01,1,,2,
14,2024-10-24 07:53:06,2024-10-24 07:53:06,2,,test02,1,,2,
15,2024-10-24 07:53:06,2024-10-24 07:53:06,3,,test03,1,,2,
16,2024-10-24 09:00:04,2024-10-24 09:01:21,1,,Read and Understand Relevant  Information Relevant and Data,1,,3,
17,2024-10-24 09:00:04,2024-10-24 09:01:21,2,,Explain Key Principles of Theory,1,,3,
18,2024-10-24 09:01:21,2024-10-24 09:01:21,3,,Read and Understand Relevant  Information Relevant and Data 2,1,,3,
19,2024-10-24 09:01:21,2024-10-24 09:01:21,4,,Explain Key Principles of Theory and Concept,1,,3,
20,2024-10-24 10:01:13,2024-10-24 10:01:13,1,,testt001,1,,5,
21,2024-10-24 10:01:13,2024-10-24 10:01:13,2,,testt002,1,,5,
22,2024-10-24 10:01:13,2024-10-24 10:01:13,3,,test003,1,,5,
23,2024-10-24 10:01:22,2024-10-24 10:01:22,1,,plo1,1,,6,
24,2024-10-24 10:01:22,2024-10-24 10:01:22,2,,plo2,1,,6,
25,2024-10-24 10:01:22,2024-10-24 10:01:22,3,,plo3,1,,6,
26,2024-10-28 06:45:36,2024-10-28 06:45:36,5,,read and know issue,1,,3,
27,2024-10-29 08:22:10,2024-10-29 08:22:10,4,,plo4,1,,6,
28,2024-10-29 10:14:38,2024-10-29 10:14:38,1,,"an ability to identify, formulate, and solve complex engineering problems by applying principles of engineering, science, and mathematics",1,,7,
108,2024-11-06 13:33:11,2024-11-06 13:33:11,8,,xx,1,,17,
109,2024-11-06 13:33:11,2024-11-06 13:33:11,9,,xx,1,,17,
110,2024-11-06 13:33:11,2024-11-06 13:33:11,10,,xx,1,,17,
111,2024-11-06 13:33:11,2024-11-06 13:33:11,11,,xx,1,,17,
112,2024-11-06 13:33:11,2024-11-06 13:33:11,12,,xx,1,,17,
113,2024-11-06 13:33:11,2024-11-06 13:33:11,13,,xx,1,,17,
114,2024-11-06 13:33:11,2024-11-06 13:33:11,14,,xx,1,,17,
115,2024-11-06 13:33:11,2024-11-06 13:33:11,15,,xx,1,,17,
29,2024-10-29 10:14:38,2024-11-06 14:20:11,2,,"an ability to apply engineering design to produce solutions that meet specified needs with consideration of public health, safety, and welfare, as well as global, cultural, social, environmental, and economic factors",1,,7,
