id,created_at,updated_at,no,category,deleted_at,course_id,plo_id,description
1,2024-10-18 08:52:34,2024-10-18 08:52:34,1,,,1,,888
2,2024-10-18 08:52:34,2024-10-18 08:52:34,2,,,1,,888
3,2024-10-18 08:52:34,2024-10-18 08:52:34,3,,,1,,888
4,2024-10-24 07:57:56,2024-10-24 07:57:56,1,,,2,,การเขียน
5,2024-10-24 07:58:50,2024-10-24 07:58:50,2,,,2,,testt12
6,2024-10-24 09:04:03,2024-10-24 09:04:03,1,,,3,,TestCLO1
7,2024-10-24 09:04:03,2024-10-24 09:04:03,2,,,3,,TestCLO2
8,2024-10-24 09:04:03,2024-10-24 09:04:03,3,,,3,,TestCLO3
9,2024-10-24 10:24:44,2024-10-24 10:24:44,1,,,4,,CLO1
10,2024-10-24 10:24:44,2024-10-24 10:24:44,2,,,4,,CLO2
11,2024-10-24 10:24:44,2024-10-24 10:24:44,3,,,4,,CLO3
12,2024-10-24 10:25:31,2024-10-24 10:25:31,1,,,5,,tttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttt
13,2024-10-24 10:25:33,2024-10-24 10:25:33,1,,,6,,clo1
14,2024-10-24 10:25:33,2024-10-24 10:25:33,2,,,6,,clo2
15,2024-10-24 10:25:33,2024-10-24 10:25:33,3,,,6,,clo3 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
16,2024-10-28 07:11:28,2024-10-28 07:11:28,1,,,7,,CLO1
17,2024-10-28 07:11:28,2024-10-28 07:11:28,2,,,7,,CLO2
18,2024-10-28 07:11:28,2024-10-28 07:11:28,3,,,7,,CLO3
19,2024-10-29 08:28:03,2024-10-29 08:28:03,1,,,8,,clo1
20,2024-10-29 08:28:03,2024-10-29 08:28:03,2,,,8,,clo2
21,2024-10-29 08:28:03,2024-10-29 08:28:03,3,,,8,,clo3
22,2024-10-30 02:00:53,2024-10-30 02:00:53,1,,,9,,อธิบายหลักการที่สำคัญของทฤษฎีและแนวคิดได้
23,2024-10-30 02:00:53,2024-10-30 02:00:53,2,,,9,,อ่านทำความเข้าใจข้อมูลต่างๆที่เกี่ยวข้องได้
24,2024-10-30 02:00:53,2024-10-30 02:00:53,3,,,9,,นักศึกษาสามารถทำงานเป็นกลุ่มและนำเสนอผลการทดลองด้วยปากเปล่าและการเขียนรายงานได้
25,2024-11-08 10:48:52,2024-11-08 10:48:52,1,,,31,,Add description...
26,2024-11-08 10:48:52,2024-11-08 10:48:52,2,,,31,,Add description...
27,2024-11-08 10:48:52,2024-11-08 10:48:52,3,,,31,,Add description...
28,2024-11-08 12:09:55,2024-11-08 12:09:55,1,,,33,,อธิบายความหมายวิชาชีพรังสีเทคนิค  วิวัฒนาการการสร้างภาพ และอุบัติการณ์ทางรังสีได้
29,2024-11-08 12:09:55,2024-11-08 12:09:55,2,,,33,,สรุปสาระสำคัญสมรรถนะและบทบาทต่อความก้าวหน้าทางวิชาชีพรังสีเทคนิคได้
30,2024-11-08 12:09:55,2024-11-08 12:09:55,3,,,33,,สังเคราะห์และนำเสนอแนวทางที่เหมาะสมในการเป็นนักรังสีเทคนิคที่พึงประสงค์ได้
31,2024-11-08 12:09:55,2024-11-08 12:09:55,1,,,34,,ใช้เครื่องมือวัดทางไฟฟ้าได้
32,2024-11-08 12:09:55,2024-11-08 12:09:55,2,,,34,,ต่อวงจรอิเล็กทรอนิกส์เพื่อควบคุมเซนเซอร์สำหรับการประยุกต์ใช้งานทางด้านรังสีเทคนิคได้
33,2024-11-09 07:48:04,2024-11-09 07:48:04,1,,,43,,Add description...
34,2024-11-09 07:48:04,2024-11-09 07:48:04,2,,,43,,Add description...
35,2024-11-09 07:48:04,2024-11-09 07:48:04,3,,,43,,Add description...
36,2024-11-09 07:48:04,2024-11-09 07:48:04,1,,,44,,Add description...
37,2024-11-09 07:48:04,2024-11-09 07:48:04,2,,,44,,Add description...
38,2024-11-09 07:48:04,2024-11-09 07:48:04,3,,,44,,Add description...
39,2024-11-09 07:48:04,2024-11-09 07:48:04,1,,,45,,Add description...
40,2024-11-09 07:48:04,2024-11-09 07:48:04,2,,,45,,Add description...
41,2024-11-09 07:48:04,2024-11-09 07:48:04,3,,,45,,Add description...
42,2024-11-09 07:48:04,2024-11-09 07:48:04,1,,,46,,Add description...
43,2024-11-09 07:48:04,2024-11-09 07:48:04,2,,,46,,Add description...
44,2024-11-09 07:48:04,2024-11-09 07:48:04,3,,,46,,Add description...
45,2024-11-09 07:48:04,2024-11-09 07:48:04,1,,,47,,Add description...
46,2024-11-09 07:48:04,2024-11-09 07:48:04,2,,,47,,Add description...
